ItemID,game-field,Date,Map,Nick,Time,Kills,Deaths,Damage Dealt,Damage Taken,Score,Perf,Old Glicko,Glicko Change,UnknownHeader,2,GT,MG,SG,GL,RL,LG,RG,PG,HMG,BFG,PM,CG,NG
1001,view,2017-05-10 20:48:38,dredwerkz,odt,0:06:38,51,11,8524,2287,50,50,2487 ± 34,2 / 0,,,,,,,,,,,,,,,
1002,view,2017-05-10 20:48:38,dredwerkz,roast,0:06:38,45,16,7331,2641,45,45,2088 ± 30,6 / 0,,,,,,,,,,,,,,,
1003,view,2017-05-10 20:48:38,dredwerkz,ToySxldier,0:04:35,25,11,3332,1453,24,35,1926 ± 58,18 / -4,,,,,,,,,,,,,,,
1004,view,2017-05-10 20:48:38,dredwerkz,Drax,0:06:38,34,21,5049,2600,34,34,1913 ± 38,9 / -1,,,,,,,,,,,,,,,
1005,view,2017-05-10 20:48:38,dredwerkz,R.J. McReady,0:06:38,25,21,4072,3058,23,23,1719 ± 30,8 / 0,,,,,,,,,,,,,,,
1006,view,2017-05-10 20:48:38,dredwerkz,Uriah,0:06:38,19,19,2867,2681,19,19,1502 ± 30,10 / 0,,,,,,,,,,,,,,,
1007,view,2017-05-10 20:48:38,dredwerkz,d0rkchampion,0:03:37,11,12,2156,1699,10,18,2035 ± 34,-22 / -1,,,,,,,,,,,,,,,
1008,view,2017-05-10 20:48:38,dredwerkz,Storm,0:06:38,18,23,2659,2768,17,17,1417 ± 33,4 / -1,,,,,,,,,,,,,,,
1009,view,2017-05-10 20:48:38,dredwerkz,trexjff,0:06:38,18,23,3116,2767,16,16,1387 ± 30,1 / 0,,,,,,,,,,,,,,,
1010,view,2017-05-10 20:48:38,dredwerkz,chris420,0:06:38,16,29,2469,3422,16,16,1274 ± 30,8 / 0,,,,,,,,,,,,,,,
1011,view,2017-05-10 20:48:38,dredwerkz,Reaction,0:06:38,17,23,2073,3049,15,15,1128 ± 36,19 / -1,,,,,,,,,,,,,,,
1012,view,2017-05-10 20:48:38,dredwerkz,cron,0:06:38,17,24,2833,2799,15,15,1268 ± 33,7 / -1,,,,,,,,,,,,,,,
1013,view,2017-05-10 20:48:38,dredwerkz,CosmicDust,0:06:38,15,18,2855,2162,15,15,1674 ± 30,-19 / 0,,,,,,,,,,,,,,,
1014,view,2017-05-10 20:48:38,dredwerkz,WhackyMacky,0:06:38,17,28,2497,3174,13,13,1132 ± 48,15 / -3,,,,,,,,,,,,,,,
1015,view,2017-05-10 20:48:38,dredwerkz,Drak0XD,0:06:38,14,24,2519,3052,10,10,1454 ± 30,-25 / 0,,,,,,,,,,,,,,,
1016,view,2017-05-10 20:48:38,dredwerkz,GANK,0:06:38,3,33,1200,3900,2,2,944 ± 59,-16 / -3,,,,,,,,,,,,,,,
1017,view,2017-05-10 20:48:38,dredwerkz,Blazer,0:06:38,1,16,340,1723,1,1,1051 ± 32,-10 / -1,,,,,,,,,,,,,,,
