"minutes.elapsed","Date","map","num_players","Nick","Kills","Deaths","Damage.Dealt","Damage.Taken","Score","Perf","ELO","UnknownHeader","GT.kills","GT.acc","GT.shots.hit","GT.shots.fired","MG.kills","MG.acc","MG.shots.hit","MG.shots.fired","SG.kills","SG.acc","SG.shots.hit","SG.shots.fired","GL.kills","GL.acc","GL.shots.hit"," GL.shots.fired","RL.kills","RL.acc","RL.shots.hit","RL.shots.fired","LG.kills","LG.acc","LG.shots.hit","LG.shots.fired","RG.kills","RG.acc","RG.shots.hit","RG.shots.fired","PG.kills","PG.acc","PG.shots.hit","PG.shots.fired","HMG.kills","HMG.acc","HMG.shots.hit","HMG.shots.fired","BFG.kills","BFG.acc","BFG.shots.hit","BFG.shots.fired","PM.kills","PM.acc","PM.shots.hit","PM.shots.fired","CG.kills","CG.acc","CG.shots.hit","CG.shots.fired","NG.kills","NG.acc","NG.shots.hit","NG.shots.fired","win"
5.58333333333333,"6/25/2017 22:15","overkill",19,"odt",50,17,6663,2244,50,50,2496,"odt",0,0,0,0,7,48,234,491,8,40,200,500,0,14,1,7,0,100,1,1,15,43,135,315,1,42,5,12,3,21,10,47,16,41,252,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.38333333333333,"6/25/2017 22:08","campgrounds",18,"odt",50,15,6160,1966,50,50,2494,"odt",0,0,0,0,6,46,161,348,10,28,113,400,0,0,0,0,14,71,29,41,12,45,172,379,0,0,0,0,8,28,60,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.7,"6/25/2017 22:03","demonkeep",22,"odt",46,24,6127,3344,45,45,2497,"odt",1,0,0,0,5,51,203,400,9,47,275,580,0,0,0,0,1,57,12,21,12,42,238,563,0,0,0,0,5,21,37,173,13,39,172,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.26666666666667,"6/25/2017 21:55","grimdungeons",25,"odt",38,25,6049,3252,38,38,2489,"odt",2,0,0,0,5,47,161,340,4,48,96,200,0,0,0,0,6,68,15,22,6,45,158,352,2,80,8,10,11,27,75,283,0,0,0,0,2,40,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5.26666666666667,"6/25/2017 21:49","hiddenfortress",22,"odt",48,26,6546,3327,47,47,2489,"odt",1,0,0,0,9,45,280,628,15,40,342,860,0,0,0,0,4,71,5,7,9,52,252,485,3,71,5,7,7,21,64,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.73333333333333,"6/25/2017 21:43","asylum",27,"odt",52,23,6738,2919,50,50,2477,"odt",5,0,0,0,12,45,219,485,18,34,263,780,0,0,0,0,8,67,20,30,3,37,70,191,0,0,0,0,0,0,0,0,6,37,98,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,"6/25/2017 21:37","wargrounds",19,"odt",44,23,6609,2752,43,43,2484,"odt",0,0,0,0,3,48,140,290,8,33,169,520,1,40,2,5,16,55,46,84,1,41,26,64,2,78,7,9,3,18,14,78,10,47,93,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.86666666666667,"6/25/2017 21:29","campgroundsvariety",19,"odt",48,29,6751,3881,48,48,2480,"odt",0,0,0,0,11,52,403,771,3,44,97,220,0,0,0,0,13,69,31,45,14,48,269,560,0,0,0,0,7,17,46,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,"6/25/2017 21:22","dredwerkz",22,"odt",35,15,4129,2015,34,56,2466,"odt",0,0,0,0,6,54,111,206,9,40,144,360,0,0,0,0,7,55,17,31,1,46,32,70,7,80,12,15,2,17,12,72,3,40,73,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.15,"6/25/2017 17:43","bloodrun",16,"odt",50,12,6434,2088,50,50,2462,"odt",0,0,0,0,5,49,79,161,9,23,136,580,0,13,2,15,12,63,22,35,9,53,217,409,10,73,11,15,5,12,22,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.15,"6/25/2017 17:36","longestyard",13,"odt",38,31,7053,4133,36,36,2475,"odt",0,0,0,0,25,46,816,1784,4,27,126,460,0,0,0,0,6,50,17,34,0,0,0,0,3,53,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.28333333333333,"6/25/2017 16:38","almostlost",24,"odt",39,19,5063,2426,39,39,2477,"odt",2,0,0,0,1,42,101,239,2,37,44,120,0,0,0,0,1,100,5,5,10,40,187,469,0,0,0,0,9,16,55,349,14,42,159,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.11666666666667,"6/25/2017 16:32","hiddenfortress",21,"odt",47,21,6282,2793,47,47,2469,"odt",1,0,0,0,5,41,122,301,3,32,57,180,0,0,0,0,10,83,35,42,18,46,344,750,4,57,4,7,6,22,48,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
